町丁名,世帯数,男,女,date
下宮比町,147,91,118,2018-12-01
矢来町,2501,2130,2478,2018-12-01
若宮町,522,442,467,2018-12-01
岩戸町,412,279,322,2018-12-01
中町,257,250,257,2018-12-01
箪笥町,399,273,312,2018-12-01
横寺町,570,440,446,2018-12-01
筑土八幡町,533,382,502,2018-12-01
新小川町,1810,1481,1519,2018-12-01
神楽河岸,0,0,0,2018-12-01
市谷薬王寺町,1953,1478,1592,2018-12-01
市谷柳町,836,572,661,2018-12-01
市谷仲之町,1138,1007,1147,2018-12-01
赤城下町,728,571,578,2018-12-01
天神町,670,494,551,2018-12-01
榎町,440,309,312,2018-12-01
東榎町,200,136,143,2018-12-01
早稲田町,701,494,555,2018-12-01
早稲田南町,399,352,366,2018-12-01
馬場下町,298,242,235,2018-12-01
原町１丁目,811,637,728,2018-12-01
原町２丁目,647,604,567,2018-12-01
原町３丁目,1033,761,904,2018-12-01
喜久井町,1056,946,926,2018-12-01
築地町,311,242,283,2018-12-01
弁天町,1854,1516,1608,2018-12-01
中里町,346,324,361,2018-12-01
山吹町,2166,1594,1724,2018-12-01
改代町,352,294,266,2018-12-01
水道町,601,422,450,2018-12-01
早稲田鶴巻町,3297,2508,2567,2018-12-01
住吉町,1640,1228,1280,2018-12-01
市谷台町,808,668,639,2018-12-01
河田町,1253,1128,1134,2018-12-01
若松町,3115,2525,2740,2018-12-01
余丁町,2395,1922,2003,2018-12-01
戸山１丁目,1422,1121,1234,2018-12-01
戸山２丁目,3202,2059,3088,2018-12-01
戸山３丁目,477,415,397,2018-12-01
富久町,3852,3383,3318,2018-12-01
百人町１丁目,1913,1499,968,2018-12-01
百人町２丁目,2045,1594,1241,2018-12-01
百人町３丁目,2381,2397,2628,2018-12-01
百人町４丁目,1435,969,1321,2018-12-01
大久保１丁目,1805,1344,1091,2018-12-01
大久保２丁目,3741,2905,2525,2018-12-01
大久保３丁目,2048,1967,2155,2018-12-01
戸塚町１丁目,102,73,89,2018-12-01
西早稲田１丁目,2956,2310,2472,2018-12-01
西早稲田２丁目,3064,2525,2388,2018-12-01
西早稲田３丁目,3406,3057,2913,2018-12-01
高田馬場１丁目,2280,1917,1739,2018-12-01
高田馬場２丁目,1025,826,706,2018-12-01
高田馬場３丁目,3331,2576,2269,2018-12-01
高田馬場４丁目,3353,2815,2629,2018-12-01
下落合１丁目,1250,914,837,2018-12-01
下落合２丁目,1722,1511,1609,2018-12-01
下落合３丁目,2338,1862,2282,2018-12-01
下落合４丁目,2305,1964,2165,2018-12-01
中落合１丁目,2008,1572,1613,2018-12-01
中落合２丁目,2584,2271,2410,2018-12-01
中落合３丁目,2273,1950,2101,2018-12-01
中落合４丁目,1584,1469,1418,2018-12-01
上落合１丁目,2964,2493,2424,2018-12-01
上落合２丁目,2948,2309,2190,2018-12-01
上落合３丁目,2871,2171,2058,2018-12-01
西落合１丁目,2581,2108,2206,2018-12-01
西落合２丁目,2379,2010,1985,2018-12-01
西落合３丁目,1746,1384,1607,2018-12-01
西落合４丁目,1150,997,1094,2018-12-01
中井１丁目,1157,912,735,2018-12-01
中井２丁目,1552,1442,1534,2018-12-01
北新宿１丁目,3897,2919,2618,2018-12-01
北新宿２丁目,2804,2448,2213,2018-12-01
北新宿３丁目,3732,2947,2690,2018-12-01
北新宿４丁目,3481,2736,2488,2018-12-01
西新宿１丁目,33,27,27,2018-12-01
西新宿２丁目,3,3,5,2018-12-01
西新宿３丁目,1419,944,964,2018-12-01
西新宿４丁目,4596,3494,3129,2018-12-01
西新宿５丁目,2559,1993,1792,2018-12-01
西新宿６丁目,1987,1575,1377,2018-12-01
西新宿７丁目,1509,1162,877,2018-12-01
西新宿８丁目,1920,1413,1315,2018-12-01
四谷１丁目,225,191,261,2018-11-01
四谷２丁目,240,194,221,2018-11-01
四谷３丁目,262,185,220,2018-11-01
四谷４丁目,2076,1677,1549,2018-11-01
四谷本塩町,251,207,201,2018-11-01
四谷三栄町,1030,882,945,2018-11-01
四谷坂町,1343,1036,1051,2018-11-01
若葉１丁目,1336,1230,1193,2018-11-01
若葉２丁目,408,375,384,2018-11-01
若葉３丁目,568,440,448,2018-11-01
須賀町,799,683,662,2018-11-01
左門町,969,663,810,2018-11-01
信濃町,544,399,492,2018-11-01
南元町,1224,1081,1227,2018-11-01
荒木町,1565,1155,1169,2018-11-01
舟町,948,652,666,2018-11-01
愛住町,855,669,674,2018-11-01
大京町,2054,1583,1884,2018-11-01
霞ヶ丘町,1,1,0,2018-11-01
内藤町,685,633,550,2018-11-01
片町,211,155,151,2018-11-01
新宿１丁目,2712,1926,1747,2018-11-01
新宿２丁目,797,619,478,2018-11-01
新宿３丁目,100,89,49,2018-11-01
新宿４丁目,220,179,101,2018-11-01
新宿５丁目,1821,1302,986,2018-11-01
新宿６丁目,2674,1960,1728,2018-11-01
新宿７丁目,3572,2937,2681,2018-11-01
歌舞伎町１丁目,160,127,57,2018-11-01
歌舞伎町２丁目,1524,1213,538,2018-11-01
市谷田町１丁目,19,10,21,2018-11-01
市谷田町２丁目,342,243,349,2018-11-01
市谷田町３丁目,186,150,186,2018-11-01
市谷本村町,1731,1531,913,2018-11-01
市谷砂土原町１丁目,107,98,123,2018-11-01
市谷砂土原町２丁目,224,176,222,2018-11-01
市谷砂土原町３丁目,420,406,451,2018-11-01
市谷左内町,226,204,227,2018-11-01
市谷加賀町１丁目,21,13,22,2018-11-01
市谷加賀町２丁目,930,678,983,2018-11-01
市谷甲良町,384,347,388,2018-11-01
市谷船河原町,69,73,81,2018-11-01
市谷長延寺町,90,46,84,2018-11-01
市谷鷹匠町,20,22,24,2018-11-01
市谷山伏町,288,254,268,2018-11-01
市谷八幡町,63,55,66,2018-11-01
神楽坂１丁目,11,11,16,2018-11-01
神楽坂２丁目,127,84,117,2018-11-01
神楽坂３丁目,292,228,215,2018-11-01
神楽坂４丁目,90,77,89,2018-11-01
神楽坂５丁目,384,303,391,2018-11-01
神楽坂６丁目,551,379,464,2018-11-01
細工町,254,203,222,2018-11-01
二十騎町,361,303,341,2018-11-01
揚場町,55,49,58,2018-11-01
津久戸町,68,46,50,2018-11-01
東五軒町,1104,981,1119,2018-11-01
西五軒町,886,764,809,2018-11-01
赤城元町,224,176,212,2018-11-01
南榎町,672,657,669,2018-11-01
袋町,373,324,341,2018-11-01
払方町,473,453,501,2018-11-01
南町,375,376,405,2018-11-01
北町,490,460,512,2018-11-01
納戸町,520,445,515,2018-11-01
南山伏町,369,322,306,2018-11-01
北山伏町,333,218,254,2018-11-01
白銀町,716,589,735,2018-11-01
下宮比町,147,92,117,2018-11-01
矢来町,2492,2124,2459,2018-11-01
若宮町,522,445,465,2018-11-01
岩戸町,414,278,323,2018-11-01
中町,255,248,257,2018-11-01
箪笥町,400,274,313,2018-11-01
横寺町,574,442,448,2018-11-01
筑土八幡町,531,379,501,2018-11-01
新小川町,1798,1474,1506,2018-11-01
神楽河岸,0,0,0,2018-11-01
市谷薬王寺町,1957,1475,1597,2018-11-01
市谷柳町,834,566,664,2018-11-01
市谷仲之町,1137,1010,1136,2018-11-01
赤城下町,730,570,581,2018-11-01
天神町,677,495,554,2018-11-01
榎町,438,311,306,2018-11-01
東榎町,201,138,145,2018-11-01
早稲田町,702,490,561,2018-11-01
早稲田南町,400,351,366,2018-11-01
馬場下町,299,244,234,2018-11-01
原町１丁目,804,631,724,2018-11-01
原町２丁目,657,613,572,2018-11-01
原町３丁目,1042,764,913,2018-11-01
喜久井町,1052,946,922,2018-11-01
築地町,308,242,284,2018-11-01
弁天町,1855,1511,1610,2018-11-01
中里町,351,327,365,2018-11-01
山吹町,2155,1589,1713,2018-11-01
改代町,354,295,265,2018-11-01
水道町,611,428,459,2018-11-01
早稲田鶴巻町,3287,2501,2564,2018-11-01
住吉町,1642,1232,1282,2018-11-01
市谷台町,808,670,640,2018-11-01
河田町,1255,1126,1138,2018-11-01
若松町,3117,2523,2738,2018-11-01
余丁町,2390,1923,2002,2018-11-01
戸山１丁目,1424,1118,1235,2018-11-01
戸山２丁目,3210,2061,3093,2018-11-01
戸山３丁目,481,418,400,2018-11-01
富久町,3845,3368,3312,2018-11-01
百人町１丁目,1915,1503,965,2018-11-01
百人町２丁目,2046,1597,1242,2018-11-01
百人町３丁目,2376,2396,2631,2018-11-01
百人町４丁目,1434,974,1321,2018-11-01
大久保１丁目,1806,1344,1096,2018-11-01
大久保２丁目,3745,2915,2525,2018-11-01
大久保３丁目,2042,1959,2149,2018-11-01
戸塚町１丁目,101,73,87,2018-11-01
西早稲田１丁目,2958,2307,2473,2018-11-01
西早稲田２丁目,3072,2524,2386,2018-11-01
西早稲田３丁目,3415,3075,2913,2018-11-01
高田馬場１丁目,2282,1913,1741,2018-11-01
高田馬場２丁目,1022,822,711,2018-11-01
高田馬場３丁目,3313,2563,2265,2018-11-01
高田馬場４丁目,3353,2820,2636,2018-11-01
下落合１丁目,1245,911,833,2018-11-01
下落合２丁目,1727,1511,1610,2018-11-01
下落合３丁目,2350,1869,2288,2018-11-01
下落合４丁目,2308,1971,2161,2018-11-01
中落合１丁目,2021,1575,1621,2018-11-01
中落合２丁目,2600,2279,2427,2018-11-01
中落合３丁目,2279,1957,2092,2018-11-01
中落合４丁目,1593,1470,1424,2018-11-01
上落合１丁目,2985,2504,2441,2018-11-01
上落合２丁目,2954,2320,2193,2018-11-01
上落合３丁目,2871,2170,2061,2018-11-01
西落合１丁目,2578,2107,2208,2018-11-01
西落合２丁目,2377,2005,1986,2018-11-01
西落合３丁目,1741,1390,1595,2018-11-01
西落合４丁目,1154,995,1105,2018-11-01
中井１丁目,1156,913,730,2018-11-01
中井２丁目,1549,1443,1525,2018-11-01
北新宿１丁目,3900,2919,2606,2018-11-01
北新宿２丁目,2819,2462,2222,2018-11-01
北新宿３丁目,3725,2937,2689,2018-11-01
北新宿４丁目,3487,2741,2486,2018-11-01
西新宿１丁目,34,28,27,2018-11-01
西新宿２丁目,3,3,5,2018-11-01
西新宿３丁目,1401,935,949,2018-11-01
西新宿４丁目,4595,3503,3129,2018-11-01
西新宿５丁目,2565,1998,1791,2018-11-01
西新宿６丁目,1979,1570,1388,2018-11-01
西新宿７丁目,1499,1157,864,2018-11-01
西新宿８丁目,1924,1413,1322,2018-11-01
四谷１丁目,226,192,261,2018-10-01
四谷２丁目,239,193,222,2018-10-01
四谷３丁目,261,185,219,2018-10-01
四谷４丁目,2072,1679,1546,2018-10-01
四谷本塩町,249,207,200,2018-10-01
四谷三栄町,1025,879,944,2018-10-01
四谷坂町,1342,1034,1050,2018-10-01
若葉１丁目,1330,1228,1194,2018-10-01
若葉２丁目,408,373,382,2018-10-01
若葉３丁目,568,439,451,2018-10-01
須賀町,803,686,662,2018-10-01
左門町,969,665,810,2018-10-01
信濃町,544,400,489,2018-10-01
南元町,1220,1075,1226,2018-10-01
荒木町,1553,1149,1165,2018-10-01
舟町,953,652,669,2018-10-01
愛住町,853,665,673,2018-10-01
大京町,2041,1560,1876,2018-10-01
霞ヶ丘町,1,1,0,2018-10-01
内藤町,685,633,548,2018-10-01
片町,208,154,150,2018-10-01
新宿１丁目,2704,1917,1746,2018-10-01
新宿２丁目,790,612,478,2018-10-01
新宿３丁目,100,89,50,2018-10-01
新宿４丁目,220,179,102,2018-10-01
新宿５丁目,1815,1299,980,2018-10-01
新宿６丁目,2630,1948,1687,2018-10-01
新宿７丁目,3549,2909,2679,2018-10-01
歌舞伎町１丁目,156,123,57,2018-10-01
歌舞伎町２丁目,1520,1204,542,2018-10-01
市谷田町１丁目,18,9,21,2018-10-01
市谷田町２丁目,341,242,348,2018-10-01
市谷田町３丁目,183,147,184,2018-10-01
市谷本村町,1740,1538,913,2018-10-01
市谷砂土原町１丁目,108,99,124,2018-10-01
市谷砂土原町２丁目,225,177,222,2018-10-01
市谷砂土原町３丁目,424,409,454,2018-10-01
市谷左内町,227,205,227,2018-10-01
市谷加賀町１丁目,21,13,22,2018-10-01
市谷加賀町２丁目,927,681,975,2018-10-01
市谷甲良町,383,343,386,2018-10-01
市谷船河原町,69,73,81,2018-10-01
市谷長延寺町,92,47,86,2018-10-01
市谷鷹匠町,20,22,24,2018-10-01
市谷山伏町,285,248,265,2018-10-01
市谷八幡町,63,55,67,2018-10-01
神楽坂１丁目,11,11,16,2018-10-01
神楽坂２丁目,127,84,116,2018-10-01
神楽坂３丁目,290,225,214,2018-10-01
神楽坂４丁目,92,78,93,2018-10-01
神楽坂５丁目,382,302,391,2018-10-01
神楽坂６丁目,550,377,462,2018-10-01
細工町,253,203,221,2018-10-01
二十騎町,358,302,340,2018-10-01
揚場町,55,49,57,2018-10-01
津久戸町,67,43,51,2018-10-01
東五軒町,1099,975,1116,2018-10-01
西五軒町,894,771,811,2018-10-01
赤城元町,225,176,214,2018-10-01
南榎町,666,650,671,2018-10-01
袋町,371,320,343,2018-10-01
払方町,470,448,497,2018-10-01
南町,374,375,406,2018-10-01
北町,491,458,514,2018-10-01
納戸町,501,423,496,2018-10-01
南山伏町,369,323,311,2018-10-01
北山伏町,319,208,245,2018-10-01
白銀町,712,586,738,2018-10-01
下宮比町,144,89,116,2018-10-01
矢来町,2486,2114,2467,2018-10-01
若宮町,524,448,468,2018-10-01
岩戸町,412,278,321,2018-10-01
中町,251,243,255,2018-10-01
箪笥町,402,275,314,2018-10-01
横寺町,562,438,440,2018-10-01
筑土八幡町,524,372,499,2018-10-01
新小川町,1798,1469,1507,2018-10-01
神楽河岸,0,0,0,2018-10-01
市谷薬王寺町,1957,1479,1605,2018-10-01
市谷柳町,833,563,662,2018-10-01
市谷仲之町,1140,1011,1141,2018-10-01
赤城下町,731,574,583,2018-10-01
天神町,674,492,555,2018-10-01
榎町,427,310,300,2018-10-01
東榎町,199,137,143,2018-10-01
早稲田町,700,488,561,2018-10-01
早稲田南町,402,353,369,2018-10-01
馬場下町,295,240,234,2018-10-01
原町１丁目,806,630,726,2018-10-01
原町２丁目,653,608,569,2018-10-01
原町３丁目,1038,763,908,2018-10-01
喜久井町,1052,941,924,2018-10-01
築地町,311,248,284,2018-10-01
弁天町,1860,1514,1607,2018-10-01
中里町,352,329,366,2018-10-01
山吹町,2152,1590,1713,2018-10-01
改代町,353,298,262,2018-10-01
水道町,617,428,461,2018-10-01
早稲田鶴巻町,3279,2503,2558,2018-10-01
住吉町,1644,1231,1280,2018-10-01
市谷台町,804,662,638,2018-10-01
河田町,1247,1115,1127,2018-10-01
若松町,3117,2519,2734,2018-10-01
余丁町,2385,1918,1999,2018-10-01
戸山１丁目,1432,1127,1239,2018-10-01
戸山２丁目,3221,2071,3112,2018-10-01
戸山３丁目,485,420,403,2018-10-01
富久町,3828,3355,3306,2018-10-01
百人町１丁目,1907,1503,959,2018-10-01
百人町２丁目,2053,1608,1241,2018-10-01
百人町３丁目,2368,2395,2617,2018-10-01
百人町４丁目,1435,971,1322,2018-10-01
大久保１丁目,1811,1342,1108,2018-10-01
大久保２丁目,3725,2895,2527,2018-10-01
大久保３丁目,2038,1950,2138,2018-10-01
戸塚町１丁目,99,74,85,2018-10-01
西早稲田１丁目,2964,2314,2476,2018-10-01
西早稲田２丁目,3073,2529,2387,2018-10-01
西早稲田３丁目,3406,3066,2908,2018-10-01
高田馬場１丁目,2271,1907,1727,2018-10-01
高田馬場２丁目,1029,823,713,2018-10-01
高田馬場３丁目,3319,2566,2277,2018-10-01
高田馬場４丁目,3342,2819,2626,2018-10-01
下落合１丁目,1255,919,835,2018-10-01
下落合２丁目,1732,1511,1614,2018-10-01
下落合３丁目,2351,1870,2290,2018-10-01
下落合４丁目,2313,1968,2169,2018-10-01
中落合１丁目,2025,1578,1620,2018-10-01
中落合２丁目,2603,2270,2433,2018-10-01
中落合３丁目,2286,1960,2099,2018-10-01
中落合４丁目,1593,1470,1422,2018-10-01
上落合１丁目,2985,2505,2438,2018-10-01
上落合２丁目,2960,2323,2208,2018-10-01
上落合３丁目,2883,2182,2068,2018-10-01
西落合１丁目,2580,2104,2208,2018-10-01
西落合２丁目,2374,2006,1990,2018-10-01
西落合３丁目,1747,1386,1596,2018-10-01
西落合４丁目,1158,999,1107,2018-10-01
中井１丁目,1159,917,731,2018-10-01
中井２丁目,1543,1431,1523,2018-10-01
北新宿１丁目,3895,2910,2600,2018-10-01
北新宿２丁目,2812,2458,2227,2018-10-01
北新宿３丁目,3730,2942,2692,2018-10-01
北新宿４丁目,3478,2733,2478,2018-10-01
西新宿１丁目,34,28,27,2018-10-01
西新宿２丁目,3,3,5,2018-10-01
西新宿３丁目,1374,909,931,2018-10-01
西新宿４丁目,4595,3507,3133,2018-10-01
西新宿５丁目,2559,1993,1786,2018-10-01
西新宿６丁目,1959,1552,1391,2018-10-01
西新宿７丁目,1491,1150,868,2018-10-01
西新宿８丁目,1918,1410,1314,2018-10-01
四谷１丁目,225,194,260,2018-09-01
四谷２丁目,238,191,222,2018-09-01
四谷３丁目,263,187,218,2018-09-01
四谷４丁目,2073,1681,1549,2018-09-01
四谷本塩町,248,205,201,2018-09-01
四谷三栄町,1021,873,936,2018-09-01
四谷坂町,1345,1039,1043,2018-09-01
若葉１丁目,1329,1230,1190,2018-09-01
若葉２丁目,412,372,387,2018-09-01
若葉３丁目,564,436,450,2018-09-01
須賀町,809,691,670,2018-09-01
左門町,967,667,807,2018-09-01
信濃町,545,395,488,2018-09-01
南元町,1221,1077,1228,2018-09-01
荒木町,1565,1158,1165,2018-09-01
舟町,945,646,664,2018-09-01
愛住町,848,662,665,2018-09-01
大京町,2037,1565,1869,2018-09-01
霞ヶ丘町,1,1,0,2018-09-01
内藤町,680,632,543,2018-09-01
片町,210,156,152,2018-09-01
新宿１丁目,2706,1918,1749,2018-09-01
新宿２丁目,792,614,478,2018-09-01
新宿３丁目,100,89,51,2018-09-01
新宿４丁目,219,178,102,2018-09-01
新宿５丁目,1810,1301,977,2018-09-01
新宿６丁目,2623,1957,1672,2018-09-01
新宿７丁目,3553,2909,2678,2018-09-01
歌舞伎町１丁目,157,123,58,2018-09-01
歌舞伎町２丁目,1519,1206,538,2018-09-01
市谷田町１丁目,18,8,21,2018-09-01
市谷田町２丁目,341,242,347,2018-09-01
市谷田町３丁目,182,148,185,2018-09-01
市谷本村町,1666,1482,899,2018-09-01
市谷砂土原町１丁目,108,99,124,2018-09-01
市谷砂土原町２丁目,225,178,222,2018-09-01
市谷砂土原町３丁目,427,413,456,2018-09-01
市谷左内町,228,206,229,2018-09-01
市谷加賀町１丁目,21,13,22,2018-09-01
市谷加賀町２丁目,930,685,975,2018-09-01
市谷甲良町,380,341,384,2018-09-01
市谷船河原町,69,73,81,2018-09-01
市谷長延寺町,92,46,86,2018-09-01
市谷鷹匠町,20,22,24,2018-09-01
市谷山伏町,286,252,263,2018-09-01
市谷八幡町,63,56,67,2018-09-01
神楽坂１丁目,11,11,16,2018-09-01
神楽坂２丁目,128,85,116,2018-09-01
神楽坂３丁目,290,225,215,2018-09-01
神楽坂４丁目,92,78,94,2018-09-01
神楽坂５丁目,382,300,389,2018-09-01
神楽坂６丁目,555,377,464,2018-09-01
細工町,253,203,221,2018-09-01
二十騎町,360,306,339,2018-09-01
揚場町,53,48,56,2018-09-01
津久戸町,67,43,51,2018-09-01
東五軒町,1103,983,1123,2018-09-01
西五軒町,897,778,815,2018-09-01
赤城元町,225,175,214,2018-09-01
南榎町,665,649,669,2018-09-01
袋町,370,316,343,2018-09-01
払方町,473,452,499,2018-09-01
南町,374,376,406,2018-09-01
北町,492,459,516,2018-09-01
納戸町,502,420,493,2018-09-01
南山伏町,369,323,310,2018-09-01
北山伏町,314,203,244,2018-09-01
白銀町,711,579,736,2018-09-01
下宮比町,146,89,118,2018-09-01
矢来町,2491,2124,2476,2018-09-01
若宮町,525,450,469,2018-09-01
岩戸町,414,277,322,2018-09-01
中町,251,246,255,2018-09-01
箪笥町,399,271,313,2018-09-01
横寺町,552,424,434,2018-09-01
筑土八幡町,522,368,496,2018-09-01
新小川町,1784,1459,1499,2018-09-01
神楽河岸,0,0,0,2018-09-01
市谷薬王寺町,1961,1483,1608,2018-09-01
市谷柳町,837,570,666,2018-09-01
市谷仲之町,1140,1010,1142,2018-09-01
赤城下町,739,575,588,2018-09-01
天神町,676,488,559,2018-09-01
榎町,428,315,298,2018-09-01
東榎町,200,138,143,2018-09-01
早稲田町,703,488,563,2018-09-01
早稲田南町,400,352,363,2018-09-01
馬場下町,295,240,234,2018-09-01
原町１丁目,802,626,724,2018-09-01
原町２丁目,646,599,560,2018-09-01
原町３丁目,1045,771,916,2018-09-01
喜久井町,1049,940,926,2018-09-01
築地町,314,252,287,2018-09-01
弁天町,1852,1509,1607,2018-09-01
中里町,352,330,370,2018-09-01
山吹町,2159,1597,1712,2018-09-01
改代町,354,297,262,2018-09-01
水道町,615,429,459,2018-09-01
早稲田鶴巻町,3280,2499,2560,2018-09-01
住吉町,1648,1235,1282,2018-09-01
市谷台町,809,665,645,2018-09-01
河田町,1252,1127,1128,2018-09-01
若松町,3090,2486,2727,2018-09-01
余丁町,2384,1920,1994,2018-09-01
戸山１丁目,1437,1128,1243,2018-09-01
戸山２丁目,3232,2078,3133,2018-09-01
戸山３丁目,483,419,404,2018-09-01
富久町,3830,3356,3309,2018-09-01
百人町１丁目,1911,1503,963,2018-09-01
百人町２丁目,2049,1606,1246,2018-09-01
百人町３丁目,2369,2391,2624,2018-09-01
百人町４丁目,1437,971,1321,2018-09-01
大久保１丁目,1801,1337,1100,2018-09-01
大久保２丁目,3723,2892,2533,2018-09-01
大久保３丁目,1997,1905,2096,2018-09-01
戸塚町１丁目,98,74,84,2018-09-01
西早稲田１丁目,2965,2320,2476,2018-09-01
西早稲田２丁目,3075,2531,2388,2018-09-01
西早稲田３丁目,3415,3062,2920,2018-09-01
高田馬場１丁目,2275,1901,1734,2018-09-01
高田馬場２丁目,1023,820,711,2018-09-01
高田馬場３丁目,3322,2572,2275,2018-09-01
高田馬場４丁目,3350,2827,2632,2018-09-01
下落合１丁目,1268,927,845,2018-09-01
下落合２丁目,1735,1510,1620,2018-09-01
下落合３丁目,2355,1873,2289,2018-09-01
下落合４丁目,2314,1962,2182,2018-09-01
中落合１丁目,2023,1581,1622,2018-09-01
中落合２丁目,2600,2269,2421,2018-09-01
中落合３丁目,2287,1958,2096,2018-09-01
中落合４丁目,1601,1480,1425,2018-09-01
上落合１丁目,2987,2503,2445,2018-09-01
上落合２丁目,2960,2326,2214,2018-09-01
上落合３丁目,2873,2178,2059,2018-09-01
西落合１丁目,2592,2114,2213,2018-09-01
西落合２丁目,2374,2008,1994,2018-09-01
西落合３丁目,1746,1390,1592,2018-09-01
西落合４丁目,1157,996,1106,2018-09-01
中井１丁目,1159,916,729,2018-09-01
中井２丁目,1543,1415,1521,2018-09-01
北新宿１丁目,3883,2914,2581,2018-09-01
北新宿２丁目,2823,2466,2239,2018-09-01
北新宿３丁目,3735,2936,2704,2018-09-01
北新宿４丁目,3474,2730,2484,2018-09-01
西新宿１丁目,33,27,27,2018-09-01
西新宿２丁目,3,3,5,2018-09-01
西新宿３丁目,1350,894,924,2018-09-01
西新宿４丁目,4597,3507,3140,2018-09-01
西新宿５丁目,2564,2000,1783,2018-09-01
西新宿６丁目,1957,1547,1392,2018-09-01
西新宿７丁目,1499,1157,870,2018-09-01
西新宿８丁目,1926,1413,1324,2018-09-01
四谷１丁目,226,195,263,2018-08-01
四谷２丁目,241,195,225,2018-08-01
四谷３丁目,262,188,218,2018-08-01
四谷４丁目,2050,1663,1536,2018-08-01
四谷本塩町,229,188,199,2018-08-01
三栄町,1018,869,936,2018-08-01
四谷坂町,1343,1033,1045,2018-08-01
若葉１丁目,1325,1224,1186,2018-08-01
若葉２丁目,413,370,390,2018-08-01
若葉３丁目,562,433,447,2018-08-01
須賀町,811,695,673,2018-08-01
左門町,971,670,807,2018-08-01
信濃町,543,392,487,2018-08-01
南元町,1223,1084,1223,2018-08-01
荒木町,1564,1151,1164,2018-08-01
舟町,942,645,663,2018-08-01
愛住町,849,663,663,2018-08-01
大京町,2035,1562,1862,2018-08-01
霞ヶ丘町,1,1,0,2018-08-01
内藤町,675,630,537,2018-08-01
片町,211,158,151,2018-08-01
新宿１丁目,2706,1917,1753,2018-08-01
新宿２丁目,793,609,487,2018-08-01
新宿３丁目,99,87,52,2018-08-01
新宿４丁目,222,181,103,2018-08-01
新宿５丁目,1808,1300,972,2018-08-01
新宿６丁目,2609,1962,1659,2018-08-01
新宿７丁目,3540,2894,2685,2018-08-01
歌舞伎町１丁目,159,124,59,2018-08-01
歌舞伎町２丁目,1509,1194,540,2018-08-01
市谷田町１丁目,18,8,21,2018-08-01
市谷田町２丁目,338,238,345,2018-08-01
市谷田町３丁目,183,149,179,2018-08-01
市谷本村町,1688,1492,906,2018-08-01
市谷砂土原町１丁目,109,100,125,2018-08-01
市谷砂土原町２丁目,222,175,220,2018-08-01
市谷砂土原町３丁目,430,417,461,2018-08-01
